Date,Result,Hero,Duration,KDA
9/5/15,Lost,Tusk,48:27:00,5/9/18
16/7/16,Lost,Dragon Knight,36:30:00,5/7/09
9/5/15,Won ,Templar Assassin,26:50:00,10/1/10
9/5/15,Won ,Templar Assassin,40:56:00,4/5/16
9/5/15,Won ,Naga Siren,32:37:00,3/2/10
8/5/15,Lost,Naga Siren,29:09:00,0/2/2
8/5/15,Won ,Dragon Knight,41:51:00,10/0/13
7/5/15,Won ,Windranger,25:29:00,15/0/14
3/5/15,Lost,Batrider,48:48:00,1/7/10
3/5/15,Won ,Phantom Assassin,46:55:00,18/4/10
3/5/15,Won ,Naga Siren,1:05:23,12/3/17
3/5/15,Lost,Phantom Assassin,56:34:00,19/6/15
3/5/15,Won ,Alchemist,31:52:00,7/4/19
2/5/15,Lost,Meepo,42:56:00,2/10/06
2/5/15,Won ,Dragon Knight,50:04:00,8/7/06
2/5/15,Won ,Clockwerk,49:40:00,11/10/22
1/5/15,Won ,Tusk,30:51:00,4/3/14
1/5/15,Won ,Timbersaw,27:05:00,5/4/15
1/5/15,Won ,Crystal Maiden,41:07:00,7/11/13
1/5/15,Lost,Ember Spirit,42:33:00,3/8/09
1/5/15,Lost,Dragon Knight,45:37:00,7/10/09
1/5/15,Lost,Dragon Knight,28:26:00,3/2/06
1/5/15,Won ,Storm Spirit,57:23:00,9/6/14
28/4/15,Lost,Storm Spirit,53:45:00,12/9/13
28/4/15,Won ,Storm Spirit,50:02:00,8/7/15
27/4/15,Won ,Templar Assassin,45:58:00,25/4/13
27/4/15,Won ,Earth Spirit,36:36:00,6/4/13
24/4/15,Won ,Storm Spirit,40:14:00,18/0/18
22/4/15,Won ,Windranger,38:31:00,12/2/12
18/4/15,Lost,Templar Assassin,58:23:00,18/9/07
15/4/15,Won ,Earth Spirit,47:49:00,2/8/16
8/3/15,Lost,Lone Druid,33:11:00,2/12/09
20/2/15,Won ,Naga Siren,32:18:00,4/3/06
16/2/15,Won ,Earth Spirit,26:17:00,9/3/14
14/2/15,Lost,Phoenix,40:52:00,9/4/21
14/2/15,Lost,Ursa,18:04,2/10/06
14/2/15,Won ,Huskar,57:11:00,6/12/22
14/2/15,Lost,Lone Druid,37:48:00,4/5/06
14/2/15,Won ,Enigma,42:48:00,5/4/26
13/2/15,Won ,Lone Druid,29:42:00,4/1/06
